Parent,Name,Mean Radius,Orbital semi-major axis,Sidereal period,Angular Size,Discovery Year,Discovered By
Earth,Moon,1738,384399,27.321582,31.61038[11],Prehistoric,—
Mars,Phobos,11.267,9380,0.319,12.93259,1877,Hall
Mars,Deimos,6.2±0.18,23460,1.262,2.12397,1877,Hall
Jupiter,Io,"1,821.6±0.5",421800,1.769,35.5919,1610,Galileo
Jupiter,Europa,"1,560.8±0.5",671100,3.551,17.85008,1610,Galileo
Jupiter,Ganymede,"2,634.1±0.3",1070400,7.155,18.10189,1610,Galileo
Jupiter,Callisto,"2,410.3±1.5",1882700,16.69,9.14172,1610,Galileo
Jupiter,Amalthea,83.5±2,181400,0.498,5.14942,1892,Barnard
Jupiter,Himalia,69.8,11461000,250.56,0.04213,1904,Perrine
Jupiter,Elara,43,11741000,259.64,0.02533,1905,Perrine
Jupiter,Pasiphae,30,23624000,743.63 (r),0.00876,1908,Melotte
Jupiter,Sinope,19,23939000,758.90 (r),0.00547,1914,Nicholson
Jupiter,Lysithea,18,11717000,259.2,0.01063,1938,Nicholson
Jupiter,Carme,23,23404000,734.17 (r),0.00678,1938,Nicholson
Jupiter,Ananke,14,21276000,629.77 (r),0.00454,1951,Nicholson
Jupiter,Leda,10,11165000,240.92,0.0062,1974,Kowal
Jupiter,Thebe,49.3±2.0,221900,0.675,2.23017,1979,Synnott (Voyager 1)
Jupiter,Adrastea,8.2±2.0,129000,0.298,0.95414,1979,"Jewitt, Danielson (Voyager 1)"
Jupiter,Metis,21.5±2.0,128000,0.295,2.54477,1979,Synnott (Voyager 1)
Jupiter,Callirrhoe,4.5,24103000,758.77 (r),0.00129,2000,"Scotti, Spahr, McMillan, Larsen, Montani, Gleason, Gehrels"
Jupiter,Themisto,4,7284000,130.02,0.00381,1975/2000,"Kowal and Roemer (original); Sheppard, Jewitt, Fernández, Magnier (rediscovery)"
Jupiter,Megaclite,2.7,23493000,752.86 (r),0.00079,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Taygete,2.5,23280000,732.41 (r),0.00074,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Chaldene,1.9,23100000,723.72 (r),0.00057,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Harpalyke,2.2,20858000,623.32 (r),0.00073,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Kalyke,2.6,23483000,742.06 (r),0.00076,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Iocaste,2.6,21060000,631.60 (r),0.00085,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Erinome,1.6,23196000,728.46 (r),0.00048,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Isonoe,2,23155000,726.23 (r),0.0006,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Praxidike,3.5,20908000,625.39 (r),0.00115,2000,"Sheppard, Jewitt, Fernández, Magnier, Dahm, Evans"
Jupiter,Autonoe,2,24046000,760.95 (r),0.00057,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Thyone,2,20939000,627.21 (r),0.00066,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Hermippe,2,21131000,633.9 (r),0.00065,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Aitne,1.5,23229000,730.18 (r),0.00045,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Eurydome,1.5,22865000,717.33 (r),0.00045,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Euanthe,1.5,20797000,620.49 (r),0.0005,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Euporie,1,19304000,550.74 (r),0.00036,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Orthosie,1,20720000,622.56 (r),0.00033,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Sponde,1,23487000,748.34 (r),0.00029,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Kale,1,23217000,729.47 (r),0.0003,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Pasithee,1,23004000,719.44 (r),0.0003,2001,"Sheppard, Jewitt, Kleyna"
Jupiter,Hegemone,1.5,23577000,739.88 (r),0.00044,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,Mneme,1,21035000,620.04 (r),0.00033,2003,"Gladman, Allen"
Jupiter,Aoede,2,23980000,761.50 (r),0.00058,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,Thelxinoe,1,21164000,628.09 (r),0.00033,2003,"Sheppard, Jewitt, Kleyna, Gladman, Kavelaars, Petit, Allen"
Jupiter,Arche,1.5,23355000,731.95 (r),0.00044,2002,"Sheppard, Meech, Hsieh, Tholen, Tonry"
Jupiter,Kallichore,1,23288000,728.73 (r),0.0003,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,Helike,2,21069000,626.32 (r),0.00065,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,Carpo,1.5,17058000,456.3,0.00061,2003,"Sheppard, Gladman, Kavelaars, Petit, Allen, Jewitt, Kleyna"
Jupiter,Eukelade,2,23328000,730.47 (r),0.00059,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,Cyllene,1,23809000,752 (r),0.00029,2003,"Sheppard, Jewitt, Kleyna"
Jupiter,Kore,1,24543000,779.17 (r),0.00028,2003,"Sheppard, Jewitt, Kleyna"
Jupiter,Herse,1,22983000,714.51 (r),0.0003,2003,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen"
Jupiter,S/2010 J 1,1,23314300,723.2 (r),0.0003,2010,"Jacobson, Brozović, Gladman, Alexandersen"
Jupiter,S/2010 J 2,0.5,20307200,588.1 (r),0.00017,2010,Veillet
Jupiter,Dia,2,12118000,287,0.00114,2000,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,S/2016 J 1,3,20595500,602.7 (r),0.001,2016,Sheppard
Jupiter,S/2003 J 18,1,20274000,588.0 (r),0.00034,2003,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen"
Jupiter,S/2011 J 2,0.5,23329700,726.8 (r),0.00015,2011,Sheppard
Jupiter,Eirene,2,23731800,759.7 (r),0.00058,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,Philophrosyne,1,22820000,701.3 (r),0.0003,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,S/2017 J 1,2,23484000,734.2 (r),0.00059,2017,Sheppard
Jupiter,Eupheme,1,21199710,627.8 (r),0.00033,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,S/2003 J 19,1,22757000,697.6 (r),0.0003,2003,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen"
Jupiter,Valetudo,0.5,18928100,532,0.00018,2016,Sheppard
Jupiter,S/2017 J 2,1,23241000,723.8 (r),0.0003,2017,Sheppard
Jupiter,S/2017 J 3,1,20639300,605.8 (r),0.00033,2017,Sheppard
Jupiter,Pandia,1.5,11494800,251.8 (r),0.0009,2017,Sheppard
Jupiter,S/2017 J 5,1,23169400,720.5 (r),0.0003,2017,Sheppard
Jupiter,S/2017 J 6,1,22394700,684.7 (r),0.00031,2017,Sheppard
Jupiter,S/2017 J 7,1,20571500,602.8 (r),0.00034,2017,Sheppard
Jupiter,S/2017 J 8,0.5,23174400,720.7 (r),0.00015,2017,Sheppard
Jupiter,S/2017 J 9,1,21430000,640.9 (r),0.00032,2017,Sheppard
Jupiter,Ersa,1.5,11453000,250.4 (r),0.00091,2018,Sheppard
Jupiter,S/2011 J 1,0.5,20155300,580.7 (r),0.00017,2011,Sheppard
Jupiter,S/2003 J 2,1,20554400,602.02 (r),0.00034,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,S/2003 J 4,1,22048600,668.85 (r),0.00031,2003,"Sheppard, Jewitt, Kleyna, Fernández, Hsieh"
Jupiter,S/2003 J 9,0.5,24168700,767.6 (r),0.00014,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,S/2003 J 10,1,22896000,707.78 (r),0.0003,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,S/2003 J 12,0.5,21557700,646.64 (r),0.00016,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,S/2003 J 16,1,20512500,600.18 (r),0.00034,2003,"Gladman, Sheppard, Jewitt, Kleyna, Kavelaars, Petit, Allen"
Jupiter,S/2003 J 23,1,24678100,792.00 (r),0.00028,2003,"Sheppard, Jewitt, Kleyna, Fernández"
Jupiter,S/2003 J 24,3,23088000,715.4 (r),0.0009,2003,"Sheppard, Jewitt, Kleyna, Gladman, Kleyna, Veillet"
Saturn,Mimas,198.2±0.4,185540,0.942,10.70414,1789,Herschel
Saturn,Enceladus,252.1±0.2,238040,1.37,9.63979,1789,Herschel
Saturn,Tethys,533.1±0.7,294670,1.888,15.50227,1684,Cassini
Saturn,Dione,561.4±0.4,377420,2.737,12.09288,1684,Cassini
Saturn,Rhea,763.8±1.0,527070,4.518,11.2011,1672,Cassini
Saturn,Titan,"2,574.73±0.09",1221870,15.95,15.2131,1655,Huygens
Saturn,Hyperion,135,1500880,21.28,0.64339,1848,"W.Bond, G. Bond, and Lassell"
Saturn,Iapetus,735.6±1.5,3560840,79.33,1.44396,1671,Cassini
